codemp;tipcont;tipmov;codart;fecmov;fecintro;orden;almace;seriel;ubicac;cant;prec;moves;clprfab;numdoc;posicion;impmov;pmedpon;tabauxidhis;tipo;datvar1;datvar2;datvar3;datvar4;datvar5;datvar6;feccad;premedpon;cantdobuni;numsec;tipfac;movmanual
001;0;1;MIS00990;40561;40567;201101243493794;1;;S/U;140;4.28;E;00167;045289;1;599.2;0;0;P;;;;0;0;0;2958465;4.28;0;0;0;N
001;0;4;MM003A;40567;40569;201101245483297;1;;S/U;1;47;S;00042;AL11-0052;1;47;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;PN123AM03;40563;40567;201101245617424;1;;S/U;1;22;E;00182;11/25;1;22;0;0;P;;;;0;0;0;2958465;22;0;0;0;N
001;0;1;PN124AM03;40563;40567;201101245617617;1;;S/U;4;22;E;00182;11/25;2;88;0;0;P;;;;0;0;0;2958465;22;0;0;0;N
001;0;1;PN123AM03;40563;40567;201101245617861;1;;S/U;1;69;E;00182;11/25;3;69;22;0;P;;;;0;0;0;2958465;69;0;0;0;N
001;0;4;CON00556;40568;40568;201101253508777;1;;S/U;30;0;S;30144;AL11-0053;1;0;6.141;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;CON00092;40568;40568;201101253520039;1;;S/U;10;0;S;30144;AL11-0054;1;0;0.28;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;MS176A;40562;40568;201101256193791;1;;S/U;40;73.25;E;00015;11/03028;1;2930;0;0;P;;;;0;0;0;2958465;73.25;0;0;0;N
001;0;1;MIS00536;40561;40568;201101256219719;1;;S/U;40;40;E;00226;102002808;1;1600;0;0;P;;;;0;0;0;2958465;40;0;0;0;N
001;0;1;EMB00002;40563;40568;201101256229527;1;;S/U;4;32.2;E;00214;5491;1;128.8;0;0;P;;;;0;0;0;2958465;32.2;0;0;0;N
001;0;1;LAB00307;40563;40568;201101256255978;1;;S/U;3;1.5;E;10174;11201844;1;4.5;0;0;P;;;;0;0;0;2958465;1.5;0;0;0;N
001;0;1;LAB00308;40563;40568;201101256256246;1;;S/U;1;1.1;E;10174;11201844;2;1.1;0;0;P;;;;0;0;0;2958465;1.1;0;0;0;N
001;0;1;LAB00306;40563;40568;201101256256824;1;;S/U;1;285;E;10174;11201844;3;285;0;0;P;;;;0;0;0;2958465;285;0;0;0;N
001;0;1;LAB00061;40563;40568;201101256257088;1;;S/U;1;2.5;E;10174;11201844;4;2.5;0;0;P;;;;0;0;0;2958465;2.5;0;0;0;N
001;0;1;ICS00153;40567;40568;201101256273344;1;;S/U;135;6.37;E;00134;525434;1;859.95;0;0;P;;;;0;0;0;2958465;6.37;0;0;0;N
001;0;1;CON00091;40562;40568;201101256287871;1;;S/U;200;0.07;E;00121;58063;1;14;0;0;P;;;;0;0;0;2958465;0.07;0;0;0;N
001;0;1;CON00165;40562;40568;201101256288236;1;;S/U;50;0.01;E;00121;58063;2;0.5;0;0;P;;;;0;0;0;2958465;0.01;0;0;0;N
